Datetime,AEP_MW,hour,dayofweek,month,Actual,Predicted,Anomaly
2016-06-27 23:00:00,0.4505399031897729,1.0,0.0,0.4545454545454545,0.4505399031897729,0.4600289,False
2016-06-28 00:00:00,0.3635348144470646,0.0,0.16666666666666666,0.4545454545454545,0.3635348144470646,0.36333007,False
2016-06-26 01:00:00,0.21242397914856648,0.043478260869565216,1.0,0.4545454545454545,0.21242397914856648,0.25978166,False
2016-06-26 02:00:00,0.16588060071987087,0.08695652173913043,1.0,0.4545454545454545,0.16588060071987087,0.17308068,False
2016-06-26 03:00:00,0.13205907906168546,0.13043478260869565,1.0,0.4545454545454545,0.13205907906168546,0.13874856,False
2016-06-26 04:00:00,0.11139381903934464,0.17391304347826086,1.0,0.4545454545454545,0.11139381903934464,0.112796575,False
2016-06-26 05:00:00,0.09966488767531334,0.21739130434782608,1.0,0.4545454545454545,0.09966488767531334,0.097845614,False
2016-06-26 06:00:00,0.09196971577510238,0.2608695652173913,1.0,0.4545454545454545,0.09196971577510238,0.09208286,False
2016-06-26 07:00:00,0.08055107360059577,0.30434782608695654,1.0,0.4545454545454545,0.08055107360059577,0.094468385,False
2016-06-26 08:00:00,0.11865458607422119,0.34782608695652173,1.0,0.4545454545454545,0.11865458607422119,0.095623046,False
2016-06-26 09:00:00,0.20950726076703485,0.3913043478260869,1.0,0.4545454545454545,0.20950726076703485,0.18344752,False
2016-06-26 10:00:00,0.2932853419386868,0.43478260869565216,1.0,0.4545454545454545,0.2932853419386868,0.30406815,False
2016-06-26 11:00:00,0.3550949484919945,0.4782608695652174,1.0,0.4545454545454545,0.3550949484919945,0.34993097,False
2016-06-26 12:00:00,0.4211865458607421,0.5217391304347826,1.0,0.4545454545454545,0.4211865458607421,0.4016349,False
2016-06-26 13:00:00,0.4730048405113566,0.5652173913043478,1.0,0.4545454545454545,0.4730048405113566,0.47513875,False
2016-06-26 14:00:00,0.5096810227131686,0.6086956521739131,1.0,0.4545454545454545,0.5096810227131686,0.51213425,False
2016-06-26 15:00:00,0.5414546357204914,0.6521739130434783,1.0,0.4545454545454545,0.5414546357204914,0.5397508,False
2016-06-26 16:00:00,0.5682636216954201,0.6956521739130435,1.0,0.4545454545454545,0.5682636216954201,0.5642701,False
2016-06-26 17:00:00,0.5868809730668983,0.7391304347826086,1.0,0.4545454545454545,0.5868809730668983,0.58000875,False
2016-06-26 18:00:00,0.6006578130817922,0.7826086956521738,1.0,0.4545454545454545,0.6006578130817922,0.5914258,False
2016-06-26 19:00:00,0.5843986595507012,0.8260869565217391,1.0,0.4545454545454545,0.5843986595507012,0.5986199,False
2016-06-26 20:00:00,0.548653344917463,0.8695652173913043,1.0,0.4545454545454545,0.548653344917463,0.5643462,False
2016-06-26 21:00:00,0.5173141367754747,0.9130434782608695,1.0,0.4545454545454545,0.5173141367754747,0.5240468,False
2016-06-26 22:00:00,0.4811964751148069,0.9565217391304348,1.0,0.4545454545454545,0.4811964751148069,0.5004883,False
2016-06-26 23:00:00,0.43018493235695654,1.0,1.0,0.4545454545454545,0.43018493235695654,0.41392934,False
2016-06-27 00:00:00,0.33771875387861483,0.0,0.0,0.4545454545454545,0.33771875387861483,0.334971,False
